tripduration,starttime,stoptime,startstationid,startstationname,startstationlatitude,startstationlongitude,endstationid,endstationname,endstationlatitude,endstationlongitude,bikeid,usertype,birthyear,gender
331,10/1/2024 10:54,10/1/2024 10:59,Asd,Amsterdam Centraal,52.379189,4.899431,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,908,Subscriber,1987,1
581,10/1/2024 11:26,10/1/2024 11:36,GV,The Hague Hollands Spoor,52.070833,4.322222,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,886,Subscriber,1989,1
579,10/1/2024 11:26,10/1/2024 11:36,GV,The Hague Hollands Spoor,52.070833,4.322222,141,Kendall Street,42.36356016,-71.08216792,742,Subscriber,1984,1
183,10/1/2024 11:32,10/1/2024 11:35,117,Binney St / Sixth St,42.366095,-71.086388,107,Ames St at Main St,42.3625,-71.08822,1140,Subscriber,1989,1
340,10/1/2024 11:47,10/1/2024 11:53,Uto,Utrecht Overvecht,52.113333,5.111111,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,706,Customer,1968,1
253,10/1/2024 11:52,10/1/2024 11:56,Uto,Utrecht Overvecht,52.113333,5.111111,107,Ames St at Main St,42.3625,-71.08822,1011,Subscriber,1991,1
239,10/1/2024 11:59,10/1/2024 12:03,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,895,Subscriber,1990,1
1027,10/1/2024 12:19,10/1/2024 12:36,Asdz,Amsterdam Zuid,52.338602,4.871978,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,1003,Subscriber,1987,1
422,10/1/2024 12:27,10/1/2024 12:34,Rtd,Rotterdam Centraal,51.9225,4.467167,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,866,Subscriber,1989,1
486,10/1/2024 12:33,10/1/2024 12:41,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,1047,Customer,1962,2
419,10/1/2024 12:37,10/1/2024 12:44,Uto,Utrecht Overvecht,52.113333,5.111111,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1070,Subscriber,1991,1
398,10/1/2024 12:42,10/1/2024 12:49,141,Kendall Street,42.36356016,-71.08216792,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,742,Subscriber,1987,1
687,10/1/2024 12:50,10/1/2024 13:01,Rtd,Rotterdam Centraal,51.9225,4.467167,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,690,Subscriber,1986,1
320,10/1/2024 12:54,10/1/2024 12:59,Asdz,Amsterdam Zuid,52.338602,4.871978,107,Ames St at Main St,42.3625,-71.08822,891,Subscriber,1996,2
179,10/1/2024 12:56,10/1/2024 12:59,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,816,Subscriber,1991,2
411,10/1/2024 12:57,10/1/2024 13:04,GV,The Hague Hollands Spoor,52.070833,4.322222,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,706,Customer,1984,1
305,10/1/2024 12:58,10/1/2024 13:03,Asdz,Amsterdam Zuid,52.338602,4.871978,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,756,Subscriber,1980,2
569,10/1/2024 13:12,10/1/2024 13:22,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,865,Subscriber,1986,1
327,10/1/2024 13:14,10/1/2024 13:19,Nm,Nijmegen Station,51.841111,5.854167,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,1306,Subscriber,1990,2
418,10/1/2024 13:14,10/1/2024 13:21,Asd,Amsterdam Centraal,52.379189,4.899431,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,1097,Subscriber,1986,2
243,10/1/2024 13:16,10/1/2024 13:20,Asd,Amsterdam Centraal,52.379189,4.899431,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,650,Subscriber,1988,1
374,10/1/2024 13:26,10/1/2024 13:33,Rtb,Rotterdam Blaak,51.920582,4.486082,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,874,Subscriber,1987,2
798,10/1/2024 12:53,10/1/2024 13:06,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,874,Subscriber,1987,2
313,10/1/2024 13:32,10/1/2024 13:37,Rtd,Rotterdam Centraal,51.9225,4.467167,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,1295,Customer,1978,1
177,10/1/2024 13:35,10/1/2024 13:38,Ams,Amsterdam Amstel,52.346587,4.918684,107,Ames St at Main St,42.3625,-71.08822,640,Subscriber,1987,1
763,10/1/2024 13:53,10/1/2024 14:05,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,842,Subscriber,\N,0
375,10/1/2024 13:58,10/1/2024 14:04,Rtb,Rotterdam Blaak,51.920582,4.486082,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,866,Customer,1978,1
417,10/1/2024 13:58,10/1/2024 14:05,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,639,Subscriber,1984,1
431,10/1/2024 13:59,10/1/2024 14:07,Ut,Utrecht Centraal,52.089444,5.110278,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,768,Customer,1991,1
186,10/1/2024 13:59,10/1/2024 14:02,Nm,Nijmegen Station,51.841111,5.854167,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,736,Subscriber,1983,1
728,10/1/2024 14:00,10/1/2024 14:12,Asdz,Amsterdam Zuid,52.338602,4.871978,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,650,Customer,1983,1
1300,10/1/2024 14:04,10/1/2024 14:25,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,637,Subscriber,1964,1
196,10/1/2024 14:10,10/1/2024 14:13,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,143,EF - North Point Park,42.369885,-71.069957,1046,Subscriber,1986,2
743,10/1/2024 14:10,10/1/2024 14:23,Asdz,Amsterdam Zuid,52.338602,4.871978,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,908,Subscriber,1995,1
604,10/1/2024 14:10,10/1/2024 14:20,Asdz,Amsterdam Zuid,52.338602,4.871978,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,923,Subscriber,1996,1
729,10/1/2024 14:11,10/1/2024 14:23,Asdz,Amsterdam Zuid,52.338602,4.871978,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,1291,Subscriber,1996,1
1036,10/1/2024 14:12,10/1/2024 14:29,Asdz,Amsterdam Zuid,52.338602,4.871978,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,1108,Customer,1980,2
203,10/1/2024 14:15,10/1/2024 14:18,Gvc,The Hague Centraal,52.084167,4.324722,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,679,Subscriber,1993,1
202,10/1/2024 14:14,10/1/2024 14:18,Gvc,The Hague Centraal,52.084167,4.324722,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1086,Subscriber,1994,1
204,10/1/2024 14:14,10/1/2024 14:18,Gvc,The Hague Centraal,52.084167,4.324722,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,685,Subscriber,1992,1
644,10/1/2024 14:16,10/1/2024 14:27,Asdz,Amsterdam Zuid,52.338602,4.871978,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,761,Subscriber,\N,0
462,10/1/2024 14:24,10/1/2024 14:32,Nm,Nijmegen Station,51.841111,5.854167,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,1141,Customer,1962,2
853,10/1/2024 14:25,10/1/2024 14:39,140,Danehy Park,42.388966,-71.132788,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,1075,Subscriber,1986,1
433,10/1/2024 14:27,10/1/2024 14:34,Asdz,Amsterdam Zuid,52.338602,4.871978,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,1070,Subscriber,1996,1
524,10/1/2024 14:32,10/1/2024 14:41,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,959,Subscriber,1993,1
358,10/1/2024 14:35,10/1/2024 14:41,Ut,Utrecht Centraal,52.089444,5.110278,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,637,Subscriber,1964,1
261,10/1/2024 14:43,10/1/2024 14:47,Asd,Amsterdam Centraal,52.379189,4.899431,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1011,Subscriber,1989,1
1109,10/1/2024 14:43,10/1/2024 15:02,Asdz,Amsterdam Zuid,52.338602,4.871978,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,878,Customer,1950,1
351,10/1/2024 14:56,10/1/2024 15:02,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,756,Subscriber,1980,2
454,10/1/2024 14:57,10/1/2024 15:04,Rtb,Rotterdam Blaak,51.920582,4.486082,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,1141,Customer,1962,2
282,10/1/2024 15:00,10/1/2024 15:04,Gvc,The Hague Centraal,52.084167,4.324722,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,917,Subscriber,1996,1
594,10/1/2024 15:01,10/1/2024 15:11,Gvc,The Hague Centraal,52.084167,4.324722,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,859,Subscriber,1988,1
1139,10/1/2024 15:10,10/1/2024 15:29,142,Alewife Station at Russell Field,42.396105,-71.139459,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,1272,Subscriber,1979,1
345,10/1/2024 15:11,10/1/2024 15:17,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,1118,Subscriber,1978,2
1078,10/1/2024 15:15,10/1/2024 15:33,Asd,Amsterdam Centraal,52.379189,4.899431,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,891,Subscriber,1989,2
994,10/1/2024 15:18,10/1/2024 15:35,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,115,Porter Square Station,42.387995,-71.119084,637,Customer,1991,1
765,10/1/2024 15:19,10/1/2024 15:32,115,Porter Square Station,42.387995,-71.119084,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,1310,Customer,1984,1
616,10/1/2024 15:21,10/1/2024 15:32,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,896,Subscriber,1964,1
537,10/1/2024 15:37,10/1/2024 15:46,Nm,Nijmegen Station,51.841111,5.854167,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,1118,Subscriber,1978,2
500,10/1/2024 15:38,10/1/2024 15:46,Rtd,Rotterdam Centraal,51.9225,4.467167,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,956,Subscriber,1990,2
482,10/1/2024 15:43,10/1/2024 15:51,Nm,Nijmegen Station,51.841111,5.854167,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1072,Customer,1954,1
437,10/1/2024 15:57,10/1/2024 16:04,Rtd,Rotterdam Centraal,51.9225,4.467167,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,866,Subscriber,1987,1
407,10/1/2024 16:07,10/1/2024 16:14,Ut,Utrecht Centraal,52.089444,5.110278,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,1276,Subscriber,1988,1
138,10/1/2024 16:10,10/1/2024 16:12,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919032,-71.11714125,1005,Customer,1984,1
389,10/1/2024 16:14,10/1/2024 16:21,Rtd,Rotterdam Centraal,51.9225,4.467167,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,1094,Customer,1987,2
384,10/1/2024 16:16,10/1/2024 16:23,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,878,Subscriber,1988,2
510,10/1/2024 16:17,10/1/2024 16:25,Uto,Utrecht Overvecht,52.113333,5.111111,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,1072,Subscriber,1990,1
172,10/1/2024 16:20,10/1/2024 16:23,Asd,Amsterdam Centraal,52.379189,4.899431,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,1140,Subscriber,1987,1
227,10/1/2024 16:21,10/1/2024 16:25,Asd,Amsterdam Centraal,52.379189,4.899431,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1080,Subscriber,1989,1
133,10/1/2024 16:34,10/1/2024 16:37,Ut,Utrecht Centraal,52.089444,5.110278,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,1276,Customer,1989,1
438,10/1/2024 16:41,10/1/2024 16:48,141,Kendall Street,42.36356016,-71.08216792,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,655,Subscriber,1976,1
605,10/1/2024 16:43,10/1/2024 16:53,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,852,Subscriber,1987,1
914,10/1/2024 16:44,10/1/2024 16:59,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,886,Subscriber,1985,1
145,10/1/2024 16:50,10/1/2024 16:53,Asd,Amsterdam Centraal,52.379189,4.899431,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,1293,Subscriber,1996,2
378,10/1/2024 16:55,10/1/2024 17:01,Rtb,Rotterdam Blaak,51.920582,4.486082,107,Ames St at Main St,42.3625,-71.08822,1268,Subscriber,1984,1
130,10/1/2024 16:57,10/1/2024 16:59,Nm,Nijmegen Station,51.841111,5.854167,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,1098,Subscriber,1983,1
262,10/1/2024 16:58,10/1/2024 17:02,Rtd,Rotterdam Centraal,51.9225,4.467167,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,768,Customer,1976,1
445,10/1/2024 17:01,10/1/2024 17:09,Asdz,Amsterdam Zuid,52.338602,4.871978,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,1011,Subscriber,1985,1
561,10/1/2024 17:12,10/1/2024 17:21,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,650,Customer,1983,1
577,10/1/2024 17:12,10/1/2024 17:21,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,893,Customer,1986,2
133,10/1/2024 17:19,10/1/2024 17:22,Ams,Amsterdam Amstel,52.346587,4.918684,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,753,Subscriber,1996,2
416,10/1/2024 17:23,10/1/2024 17:30,Rtb,Rotterdam Blaak,51.920582,4.486082,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,1094,Customer,1987,2
485,10/1/2024 17:28,10/1/2024 17:36,Gvc,The Hague Centraal,52.084167,4.324722,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,956,Subscriber,1990,2
329,10/1/2024 17:37,10/1/2024 17:42,Asdz,Amsterdam Zuid,52.338602,4.871978,107,Ames St at Main St,42.3625,-71.08822,874,Subscriber,1995,1
273,10/1/2024 17:38,10/1/2024 17:42,Asdz,Amsterdam Zuid,52.338602,4.871978,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,755,Subscriber,1993,1
591,10/1/2024 17:55,10/1/2024 18:05,Ams,Amsterdam Amstel,52.346587,4.918684,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,1293,Subscriber,1992,1
324,10/1/2024 17:58,10/1/2024 18:03,Ah,Arnhem Centraal,51.985,5.898611,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,1306,Subscriber,1985,2
498,10/1/2024 18:00,10/1/2024 18:08,Ams,Amsterdam Amstel,52.346587,4.918684,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,896,Subscriber,1992,2
213,10/1/2024 18:09,10/1/2024 18:12,Asdz,Amsterdam Zuid,52.338602,4.871978,107,Ames St at Main St,42.3625,-71.08822,797,Subscriber,1989,1
346,10/1/2024 18:10,10/1/2024 18:16,Asdz,Amsterdam Zuid,52.338602,4.871978,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,1271,Customer,1986,1
420,10/1/2024 18:13,10/1/2024 18:20,Asd,Amsterdam Centraal,52.379189,4.899431,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,739,Subscriber,1980,1
1310,10/1/2024 18:26,10/1/2024 18:48,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,762,Subscriber,1961,1
685,10/1/2024 18:27,10/1/2024 18:39,143,EF - North Point Park,42.369885,-71.069957,107,Ames St at Main St,42.3625,-71.08822,1046,Subscriber,1986,2
274,10/1/2024 18:35,10/1/2024 18:39,Rtd,Rotterdam Centraal,51.9225,4.467167,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,1307,Customer,1991,1
307,10/1/2024 18:36,10/1/2024 18:41,Nm,Nijmegen Station,51.841111,5.854167,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,717,Subscriber,1990,2
629,10/1/2024 18:37,10/1/2024 18:48,Rtd,Rotterdam Centraal,51.9225,4.467167,115,Porter Square Station,42.387995,-71.119084,777,Subscriber,1986,1
764,10/1/2024 18:40,10/1/2024 18:53,Asdz,Amsterdam Zuid,52.338602,4.871978,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,917,Subscriber,1986,1
466,10/1/2024 18:45,10/1/2024 18:52,Gvc,The Hague Centraal,52.084167,4.324722,107,Ames St at Main St,42.3625,-71.08822,852,Subscriber,1989,1
532,10/1/2024 18:47,10/1/2024 18:56,Uto,Utrecht Overvecht,52.113333,5.111111,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,1080,Subscriber,1975,1
375,10/1/2024 18:48,10/1/2024 18:54,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,663,Customer,1962,2
351,10/1/2024 18:52,10/1/2024 18:58,Ah,Arnhem Centraal,51.985,5.898611,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,1289,Subscriber,1990,2
596,10/1/2024 18:52,10/1/2024 19:02,Rtb,Rotterdam Blaak,51.920582,4.486082,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,779,Subscriber,1988,1
465,10/1/2024 18:54,10/1/2024 19:02,Rtb,Rotterdam Blaak,51.920582,4.486082,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,739,Subscriber,\N,0
853,10/1/2024 19:04,10/1/2024 19:18,GV,The Hague Hollands Spoor,52.070833,4.322222,140,Danehy Park,42.388966,-71.132788,769,Subscriber,1986,1
521,10/1/2024 19:17,10/1/2024 19:26,GV,The Hague Hollands Spoor,52.070833,4.322222,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,649,Subscriber,1991,2
150,10/1/2024 19:17,10/1/2024 19:20,Asdz,Amsterdam Zuid,52.338602,4.871978,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,1312,Subscriber,1990,1
655,10/1/2024 19:41,10/1/2024 19:52,Ams,Amsterdam Amstel,52.346587,4.918684,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,1312,Subscriber,1985,2
370,10/1/2024 19:51,10/1/2024 19:57,Ut,Utrecht Centraal,52.089444,5.110278,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,1070,Subscriber,1985,1
710,10/1/2024 20:03,10/1/2024 20:15,Ah,Arnhem Centraal,51.985,5.898611,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,895,Subscriber,1988,1
512,10/1/2024 20:08,10/1/2024 20:17,Ams,Amsterdam Amstel,52.346587,4.918684,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,1140,Subscriber,\N,0
440,10/1/2024 20:09,10/1/2024 20:16,Ah,Arnhem Centraal,51.985,5.898611,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,822,Subscriber,\N,0
1323,10/1/2024 20:09,10/1/2024 20:31,Asdz,Amsterdam Zuid,52.338602,4.871978,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,842,Customer,1994,1
615,10/1/2024 20:27,10/1/2024 20:38,Asd,Amsterdam Centraal,52.379189,4.899431,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,890,Subscriber,1985,1
377,10/1/2024 20:49,10/1/2024 20:55,GV,The Hague Hollands Spoor,52.070833,4.322222,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,1310,Customer,1970,1
334,10/1/2024 21:05,10/1/2024 21:11,Ut,Utrecht Centraal,52.089444,5.110278,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1011,Subscriber,\N,0
318,10/1/2024 21:05,10/1/2024 21:10,Ut,Utrecht Centraal,52.089444,5.110278,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,853,Subscriber,1988,1
373,10/1/2024 21:17,10/1/2024 21:23,Gvc,The Hague Centraal,52.084167,4.324722,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,755,Subscriber,1993,1
620,10/1/2024 21:30,10/1/2024 21:40,Asdz,Amsterdam Zuid,52.338602,4.871978,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,755,Subscriber,1991,2
273,10/1/2024 21:36,10/1/2024 21:41,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,1289,Subscriber,1990,2
511,10/1/2024 22:20,10/1/2024 22:28,Ah,Arnhem Centraal,51.985,5.898611,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,1076,Subscriber,1985,1
555,10/1/2024 22:21,10/1/2024 22:30,115,Porter Square Station,42.387995,-71.119084,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,777,Subscriber,1986,1
507,10/1/2024 22:39,10/1/2024 22:48,115,Porter Square Station,42.387995,-71.119084,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,637,Subscriber,1987,1
960,10/1/2024 22:42,10/1/2024 22:58,GV,The Hague Hollands Spoor,52.070833,4.322222,107,Ames St at Main St,42.3625,-71.08822,755,Subscriber,1986,2
