starttime,stoptime,startstationid,startstationname,startstationlatitude,startstationlongitude,endstationid,endstationname,endstationlatitude,endstationlongitude,bikeid
10-04-2024 23:55:41,10-04-2024 23:59:39,Rtd,Rotterdam Centraal,51.9225,4.467167,Asdz,Amsterdam Zuid,52.338602,4.871978,1691
10-03-2024 06:07:45,10-04-2024 14:48:54,Uto,Utrecht Overvecht,52.113333,5.111111,Asd,Amsterdam Centraal,52.379189,4.899431,1584
10-02-2024 13:51:49,10-02-2024 16:40:14,Ams,Amsterdam Amstel,52.346587,4.918684,Rtb,Rotterdam Blaak,51.920582,4.486082,1856
10-03-2024 16:35:53,10-04-2024 22:59:58,Uto,Utrecht Overvecht,52.113333,5.111111,Gvc,The Hague Centraal,52.084167,4.324722,1034
10-03-2024 04:21:48,10-04-2024 15:41:37,Ut,Utrecht Centraal,52.089444,5.110278,Nm,Nijmegen Station,51.841111,5.854167,1278
10-04-2024 10:46:44,10-04-2024 19:55:00,Rtd,Rotterdam Centraal,51.9225,4.467167,Ams,Amsterdam Amstel,52.346587,4.918684,1754
10-01-2024 21:03:40,10-02-2024 14:23:26,Nm,Nijmegen Station,51.841111,5.854167,Asdz,Amsterdam Zuid,52.338602,4.871978,1067
10-03-2024 03:57:24,10-04-2024 13:06:31,Ah,Arnhem Centraal,51.985,5.898611,Uto,Utrecht Overvecht,52.113333,5.111111,1209
10-03-2024 03:26:12,10-03-2024 15:15:08,Uto,Utrecht Overvecht,52.113333,5.111111,Rtd,Rotterdam Centraal,51.9225,4.467167,1283
10-02-2024 07:21:20,10-02-2024 22:38:30,Ut,Utrecht Centraal,52.089444,5.110278,Uto,Utrecht Overvecht,52.113333,5.111111,1954
10-01-2024 11:16:32,10-01-2024 12:08:43,Ams,Amsterdam Amstel,52.346587,4.918684,Ah,Arnhem Centraal,51.985,5.898611,1750
10-01-2024 12:20:09,10-03-2024 01:25:57,Ams,Amsterdam Amstel,52.346587,4.918684,Rtd,Rotterdam Centraal,51.9225,4.467167,1687
10-01-2024 01:37:56,10-03-2024 11:29:31,Ams,Amsterdam Amstel,52.346587,4.918684,Asdz,Amsterdam Zuid,52.338602,4.871978,1004
10-04-2024 18:18:31,10-04-2024 19:41:22,GV,The Hague Hollands Spoor,52.070833,4.322222,Ah,Arnhem Centraal,51.985,5.898611,1450
10-02-2024 13:55:23,10-04-2024 03:30:38,Rtd,Rotterdam Centraal,51.9225,4.467167,Ut,Utrecht Centraal,52.089444,5.110278,1175
10-04-2024 10:22:58,10-04-2024 16:48:53,Asd,Amsterdam Centraal,52.379189,4.899431,GV,The Hague Hollands Spoor,52.070833,4.322222,1388
10-02-2024 20:58:27,10-02-2024 23:54:42,Ut,Utrecht Centraal,52.089444,5.110278,Rtd,Rotterdam Centraal,51.9225,4.467167,1912
10-03-2024 17:18:52,10-04-2024 03:25:30,Rtb,Rotterdam Blaak,51.920582,4.486082,Gvc,The Hague Centraal,52.084167,4.324722,1358
10-02-2024 15:06:28,10-04-2024 21:28:09,Nm,Nijmegen Station,51.841111,5.854167,Asdz,Amsterdam Zuid,52.338602,4.871978,1909
10-02-2024 01:17:21,10-04-2024 12:04:25,GV,The Hague Hollands Spoor,52.070833,4.322222,Asdz,Amsterdam Zuid,52.338602,4.871978,1044
10-03-2024 22:19:59,10-04-2024 14:07:10,Ut,Utrecht Centraal,52.089444,5.110278,Gvc,The Hague Centraal,52.084167,4.324722,1863
10-01-2024 18:25:13,10-04-2024 05:03:38,Asdz,Amsterdam Zuid,52.338602,4.871978,GV,The Hague Hollands Spoor,52.070833,4.322222,1752
10-04-2024 02:41:58,10-04-2024 14:25:07,Ah,Arnhem Centraal,51.985,5.898611,Asd,Amsterdam Centraal,52.379189,4.899431,1119
10-03-2024 00:28:45,10-03-2024 13:19:22,Nm,Nijmegen Station,51.841111,5.854167,Uto,Utrecht Overvecht,52.113333,5.111111,1616
10-04-2024 01:17:54,10-04-2024 19:04:08,Gvc,The Hague Centraal,52.084167,4.324722,Ams,Amsterdam Amstel,52.346587,4.918684,1249
10-04-2024 22:30:57,10-04-2024 23:27:43,Gvc,The Hague Centraal,52.084167,4.324722,GV,The Hague Hollands Spoor,52.070833,4.322222,1437
10-04-2024 05:34:21,10-04-2024 11:24:04,Rtd,Rotterdam Centraal,51.9225,4.467167,Ams,Amsterdam Amstel,52.346587,4.918684,1283
10-03-2024 07:30:05,10-04-2024 15:31:01,Gvc,The Hague Centraal,52.084167,4.324722,GV,The Hague Hollands Spoor,52.070833,4.322222,1723
10-02-2024 03:18:22,10-02-2024 17:22:08,Asd,Amsterdam Centraal,52.379189,4.899431,Rtd,Rotterdam Centraal,51.9225,4.467167,1460
10-03-2024 12:26:15,10-03-2024 21:25:40,Gvc,The Hague Centraal,52.084167,4.324722,Uto,Utrecht Overvecht,52.113333,5.111111,1702
10-02-2024 18:26:26,10-03-2024 13:47:34,Gvc,The Hague Centraal,52.084167,4.324722,Ut,Utrecht Centraal,52.089444,5.110278,1590
10-03-2024 21:16:33,10-04-2024 11:44:18,Ut,Utrecht Centraal,52.089444,5.110278,Gvc,The Hague Centraal,52.084167,4.324722,1288
10-03-2024 11:13:52,10-04-2024 11:29:54,Gvc,The Hague Centraal,52.084167,4.324722,Ah,Arnhem Centraal,51.985,5.898611,1217
10-04-2024 09:05:46,10-04-2024 20:39:31,Ah,Arnhem Centraal,51.985,5.898611,Rtd,Rotterdam Centraal,51.9225,4.467167,1608
10-04-2024 23:19:47,10-04-2024 23:42:02,Nm,Nijmegen Station,51.841111,5.854167,Ut,Utrecht Centraal,52.089444,5.110278,1229
10-01-2024 02:34:48,10-03-2024 16:09:10,GV,The Hague Hollands Spoor,52.070833,4.322222,Ut,Utrecht Centraal,52.089444,5.110278,1978
10-03-2024 04:51:05,10-03-2024 09:24:14,Ut,Utrecht Centraal,52.089444,5.110278,Rtd,Rotterdam Centraal,51.9225,4.467167,1456
10-03-2024 21:17:18,10-04-2024 21:46:20,Asd,Amsterdam Centraal,52.379189,4.899431,Ams,Amsterdam Amstel,52.346587,4.918684,1074
10-01-2024 08:14:48,10-03-2024 11:20:53,Ut,Utrecht Centraal,52.089444,5.110278,Rtb,Rotterdam Blaak,51.920582,4.486082,1990
10-02-2024 02:38:16,10-04-2024 13:55:33,Nm,Nijmegen Station,51.841111,5.854167,Rtd,Rotterdam Centraal,51.9225,4.467167,1316
10-03-2024 14:15:30,10-03-2024 18:00:16,Uto,Utrecht Overvecht,52.113333,5.111111,Ut,Utrecht Centraal,52.089444,5.110278,1923
10-04-2024 12:09:17,10-04-2024 14:08:12,Rtb,Rotterdam Blaak,51.920582,4.486082,Ut,Utrecht Centraal,52.089444,5.110278,1333
10-02-2024 15:27:08,10-04-2024 08:00:16,Uto,Utrecht Overvecht,52.113333,5.111111,GV,The Hague Hollands Spoor,52.070833,4.322222,1099
10-03-2024 16:16:37,10-04-2024 04:24:49,Ams,Amsterdam Amstel,52.346587,4.918684,Uto,Utrecht Overvecht,52.113333,5.111111,1940
10-04-2024 13:57:05,10-04-2024 21:30:41,Rtd,Rotterdam Centraal,51.9225,4.467167,GV,The Hague Hollands Spoor,52.070833,4.322222,1498
10-01-2024 07:47:50,10-04-2024 03:55:51,GV,The Hague Hollands Spoor,52.070833,4.322222,Uto,Utrecht Overvecht,52.113333,5.111111,1583
10-03-2024 06:57:36,10-04-2024 12:43:23,Asd,Amsterdam Centraal,52.379189,4.899431,Gvc,The Hague Centraal,52.084167,4.324722,1356
10-02-2024 18:00:09,10-03-2024 16:50:57,Gvc,The Hague Centraal,52.084167,4.324722,Rtb,Rotterdam Blaak,51.920582,4.486082,1515
10-04-2024 08:47:25,10-04-2024 19:17:53,Asdz,Amsterdam Zuid,52.338602,4.871978,Ah,Arnhem Centraal,51.985,5.898611,1254
10-03-2024 08:58:46,10-04-2024 04:53:34,Asd,Amsterdam Centraal,52.379189,4.899431,Gvc,The Hague Centraal,52.084167,4.324722,1227
10-01-2024 06:46:29,10-01-2024 16:59:07,GV,The Hague Hollands Spoor,52.070833,4.322222,Ah,Arnhem Centraal,51.985,5.898611,1799
10-01-2024 10:21:48,10-01-2024 11:38:22,Nm,Nijmegen Station,51.841111,5.854167,Ah,Arnhem Centraal,51.985,5.898611,1636
10-01-2024 02:45:23,10-04-2024 05:01:18,Asd,Amsterdam Centraal,52.379189,4.899431,Rtb,Rotterdam Blaak,51.920582,4.486082,1431
10-01-2024 10:33:44,10-03-2024 17:56:56,Ah,Arnhem Centraal,51.985,5.898611,Asd,Amsterdam Centraal,52.379189,4.899431,1008
10-02-2024 23:26:17,10-04-2024 03:01:46,Rtb,Rotterdam Blaak,51.920582,4.486082,Uto,Utrecht Overvecht,52.113333,5.111111,1642
10-03-2024 20:44:02,10-04-2024 01:29:24,Gvc,The Hague Centraal,52.084167,4.324722,Rtd,Rotterdam Centraal,51.9225,4.467167,1886
10-02-2024 21:46:21,10-03-2024 18:25:33,Ut,Utrecht Centraal,52.089444,5.110278,Rtd,Rotterdam Centraal,51.9225,4.467167,1577
10-03-2024 03:22:21,10-04-2024 18:50:48,Rtd,Rotterdam Centraal,51.9225,4.467167,Ams,Amsterdam Amstel,52.346587,4.918684,1133
10-01-2024 00:56:14,10-02-2024 20:04:14,Asd,Amsterdam Centraal,52.379189,4.899431,GV,The Hague Hollands Spoor,52.070833,4.322222,1408
10-02-2024 09:54:52,10-02-2024 10:24:50,Asdz,Amsterdam Zuid,52.338602,4.871978,Gvc,The Hague Centraal,52.084167,4.324722,1047
10-03-2024 12:45:33,10-03-2024 21:35:33,Uto,Utrecht Overvecht,52.113333,5.111111,Ut,Utrecht Centraal,52.089444,5.110278,1098
10-02-2024 23:18:46,10-03-2024 12:43:08,Asdz,Amsterdam Zuid,52.338602,4.871978,Ah,Arnhem Centraal,51.985,5.898611,1373
10-02-2024 23:57:36,10-03-2024 12:26:53,GV,The Hague Hollands Spoor,52.070833,4.322222,Ams,Amsterdam Amstel,52.346587,4.918684,1234
10-02-2024 08:26:35,10-02-2024 17:15:51,Rtd,Rotterdam Centraal,51.9225,4.467167,Asd,Amsterdam Centraal,52.379189,4.899431,1768
10-02-2024 19:56:48,10-04-2024 10:05:17,Uto,Utrecht Overvecht,52.113333,5.111111,Asdz,Amsterdam Zuid,52.338602,4.871978,1146
10-02-2024 19:43:37,10-02-2024 20:13:28,Gvc,The Hague Centraal,52.084167,4.324722,Ut,Utrecht Centraal,52.089444,5.110278,1816
10-02-2024 21:23:16,10-03-2024 08:32:57,Ams,Amsterdam Amstel,52.346587,4.918684,Asdz,Amsterdam Zuid,52.338602,4.871978,1060
10-04-2024 11:01:35,10-04-2024 18:13:29,GV,The Hague Hollands Spoor,52.070833,4.322222,Rtb,Rotterdam Blaak,51.920582,4.486082,1728
10-01-2024 02:53:11,10-04-2024 11:07:18,Asd,Amsterdam Centraal,52.379189,4.899431,Nm,Nijmegen Station,51.841111,5.854167,1290
10-01-2024 01:23:10,10-04-2024 02:25:36,Ut,Utrecht Centraal,52.089444,5.110278,Gvc,The Hague Centraal,52.084167,4.324722,1721
10-02-2024 16:05:41,10-04-2024 11:08:42,Rtb,Rotterdam Blaak,51.920582,4.486082,Ut,Utrecht Centraal,52.089444,5.110278,1972
10-03-2024 03:42:56,10-03-2024 22:47:29,GV,The Hague Hollands Spoor,52.070833,4.322222,Ah,Arnhem Centraal,51.985,5.898611,1028
10-01-2024 07:34:24,10-01-2024 07:57:09,Ah,Arnhem Centraal,51.985,5.898611,Gvc,The Hague Centraal,52.084167,4.324722,1988
10-02-2024 11:19:56,10-02-2024 11:34:07,GV,The Hague Hollands Spoor,52.070833,4.322222,Uto,Utrecht Overvecht,52.113333,5.111111,1928
10-04-2024 14:16:38,10-04-2024 17:55:59,Uto,Utrecht Overvecht,52.113333,5.111111,GV,The Hague Hollands Spoor,52.070833,4.322222,1808
10-03-2024 03:53:12,10-04-2024 03:44:52,Ams,Amsterdam Amstel,52.346587,4.918684,Uto,Utrecht Overvecht,52.113333,5.111111,1183
10-03-2024 17:34:04,10-04-2024 02:25:59,Asd,Amsterdam Centraal,52.379189,4.899431,Ah,Arnhem Centraal,51.985,5.898611,1818
10-01-2024 15:40:55,10-01-2024 21:07:36,Nm,Nijmegen Station,51.841111,5.854167,Ams,Amsterdam Amstel,52.346587,4.918684,1045
10-04-2024 15:37:51,10-04-2024 16:03:02,Asd,Amsterdam Centraal,52.379189,4.899431,Uto,Utrecht Overvecht,52.113333,5.111111,1566
10-04-2024 12:22:58,10-04-2024 14:23:15,Ut,Utrecht Centraal,52.089444,5.110278,Ams,Amsterdam Amstel,52.346587,4.918684,1988
10-01-2024 14:57:28,10-04-2024 12:50:15,Rtd,Rotterdam Centraal,51.9225,4.467167,Uto,Utrecht Overvecht,52.113333,5.111111,1099
10-02-2024 18:28:23,10-03-2024 08:34:38,GV,The Hague Hollands Spoor,52.070833,4.322222,Asdz,Amsterdam Zuid,52.338602,4.871978,1704
10-03-2024 08:29:04,10-03-2024 23:20:49,Rtb,Rotterdam Blaak,51.920582,4.486082,Uto,Utrecht Overvecht,52.113333,5.111111,1086
10-01-2024 18:31:45,10-01-2024 22:02:20,Gvc,The Hague Centraal,52.084167,4.324722,Ams,Amsterdam Amstel,52.346587,4.918684,1989
10-03-2024 14:31:04,10-04-2024 08:53:33,Ut,Utrecht Centraal,52.089444,5.110278,Rtd,Rotterdam Centraal,51.9225,4.467167,1237
10-04-2024 16:40:11,10-04-2024 23:26:12,Ams,Amsterdam Amstel,52.346587,4.918684,GV,The Hague Hollands Spoor,52.070833,4.322222,1884
10-02-2024 23:16:26,10-04-2024 09:50:00,GV,The Hague Hollands Spoor,52.070833,4.322222,Asd,Amsterdam Centraal,52.379189,4.899431,1819
10-01-2024 03:26:23,10-02-2024 09:25:36,Asdz,Amsterdam Zuid,52.338602,4.871978,Uto,Utrecht Overvecht,52.113333,5.111111,1300
10-04-2024 13:54:06,10-04-2024 15:18:55,Ah,Arnhem Centraal,51.985,5.898611,Ut,Utrecht Centraal,52.089444,5.110278,1837
10-04-2024 13:53:29,10-04-2024 16:26:42,Ut,Utrecht Centraal,52.089444,5.110278,Ams,Amsterdam Amstel,52.346587,4.918684,1218
10-03-2024 22:09:06,10-04-2024 22:25:18,Ut,Utrecht Centraal,52.089444,5.110278,GV,The Hague Hollands Spoor,52.070833,4.322222,1810
10-01-2024 00:10:52,10-02-2024 10:16:53,Asdz,Amsterdam Zuid,52.338602,4.871978,Asd,Amsterdam Centraal,52.379189,4.899431,1431
10-02-2024 22:16:29,10-04-2024 10:37:38,Ah,Arnhem Centraal,51.985,5.898611,Rtd,Rotterdam Centraal,51.9225,4.467167,1614
10-02-2024 06:43:39,10-03-2024 23:14:37,Ut,Utrecht Centraal,52.089444,5.110278,Asd,Amsterdam Centraal,52.379189,4.899431,1023
10-02-2024 12:58:35,10-03-2024 20:56:14,Uto,Utrecht Overvecht,52.113333,5.111111,GV,The Hague Hollands Spoor,52.070833,4.322222,1828
10-04-2024 11:01:25,10-04-2024 15:14:10,Gvc,The Hague Centraal,52.084167,4.324722,Nm,Nijmegen Station,51.841111,5.854167,1526
10-04-2024 01:30:45,10-04-2024 09:03:26,Rtb,Rotterdam Blaak,51.920582,4.486082,Ut,Utrecht Centraal,52.089444,5.110278,1076
10-03-2024 22:24:21,10-04-2024 15:47:25,Asd,Amsterdam Centraal,52.379189,4.899431,Ams,Amsterdam Amstel,52.346587,4.918684,1588
10-01-2024 15:50:04,10-03-2024 19:52:41,GV,The Hague Hollands Spoor,52.070833,4.322222,Uto,Utrecht Overvecht,52.113333,5.111111,1829
10-04-2024 10:48:59,10-04-2024 21:46:14,Asd,Amsterdam Centraal,52.379189,4.899431,Nm,Nijmegen Station,51.841111,5.854167,1418
10-04-2024 01:07:34,10-04-2024 11:50:40,Rtb,Rotterdam Blaak,51.920582,4.486082,Asd,Amsterdam Centraal,52.379189,4.899431,1543
10-02-2024 21:37:29,10-03-2024 12:46:10,Rtb,Rotterdam Blaak,51.920582,4.486082,Nm,Nijmegen Station,51.841111,5.854167,1469
10-02-2024 10:44:58,10-03-2024 08:04:42,Uto,Utrecht Overvecht,52.113333,5.111111,Ah,Arnhem Centraal,51.985,5.898611,1829
10-02-2024 12:28:59,10-04-2024 16:50:30,GV,The Hague Hollands Spoor,52.070833,4.322222,Ah,Arnhem Centraal,51.985,5.898611,1411
10-01-2024 20:15:13,10-03-2024 23:00:00,Uto,Utrecht Overvecht,52.113333,5.111111,Nm,Nijmegen Station,51.841111,5.854167,1989
10-03-2024 01:13:09,10-04-2024 23:08:16,Ams,Amsterdam Amstel,52.346587,4.918684,Rtb,Rotterdam Blaak,51.920582,4.486082,1747
10-03-2024 09:53:51,10-03-2024 19:18:17,Rtd,Rotterdam Centraal,51.9225,4.467167,Ams,Amsterdam Amstel,52.346587,4.918684,1854
10-01-2024 15:57:00,10-01-2024 17:18:11,GV,The Hague Hollands Spoor,52.070833,4.322222,Ah,Arnhem Centraal,51.985,5.898611,1929
10-04-2024 02:40:58,10-04-2024 08:02:43,Rtd,Rotterdam Centraal,51.9225,4.467167,Gvc,The Hague Centraal,52.084167,4.324722,1519
10-03-2024 06:50:24,10-04-2024 12:21:48,Ah,Arnhem Centraal,51.985,5.898611,Gvc,The Hague Centraal,52.084167,4.324722,1684
10-04-2024 12:04:18,10-04-2024 21:08:34,Rtd,Rotterdam Centraal,51.9225,4.467167,Rtb,Rotterdam Blaak,51.920582,4.486082,1658
10-01-2024 19:24:20,10-03-2024 23:02:57,Asdz,Amsterdam Zuid,52.338602,4.871978,Asd,Amsterdam Centraal,52.379189,4.899431,1394
10-03-2024 14:41:23,10-04-2024 19:51:32,Asd,Amsterdam Centraal,52.379189,4.899431,Rtb,Rotterdam Blaak,51.920582,4.486082,1062
10-02-2024 13:38:48,10-03-2024 06:35:34,GV,The Hague Hollands Spoor,52.070833,4.322222,Rtb,Rotterdam Blaak,51.920582,4.486082,1834
10-04-2024 19:42:06,10-04-2024 22:50:48,Asd,Amsterdam Centraal,52.379189,4.899431,Ut,Utrecht Centraal,52.089444,5.110278,1852
10-02-2024 23:29:25,10-03-2024 06:23:23,Asdz,Amsterdam Zuid,52.338602,4.871978,Ams,Amsterdam Amstel,52.346587,4.918684,1966
10-03-2024 17:32:33,10-04-2024 19:11:00,Gvc,The Hague Centraal,52.084167,4.324722,Asd,Amsterdam Centraal,52.379189,4.899431,1528
10-04-2024 18:54:08,10-04-2024 23:25:51,Rtb,Rotterdam Blaak,51.920582,4.486082,GV,The Hague Hollands Spoor,52.070833,4.322222,1893
10-01-2024 11:51:28,10-01-2024 18:25:44,Nm,Nijmegen Station,51.841111,5.854167,Asd,Amsterdam Centraal,52.379189,4.899431,1690
10-04-2024 17:39:31,10-04-2024 19:06:56,Ut,Utrecht Centraal,52.089444,5.110278,GV,The Hague Hollands Spoor,52.070833,4.322222,1773
10-01-2024 06:08:29,10-01-2024 11:09:36,Uto,Utrecht Overvecht,52.113333,5.111111,Gvc,The Hague Centraal,52.084167,4.324722,1710
10-02-2024 22:11:52,10-03-2024 07:24:39,Rtb,Rotterdam Blaak,51.920582,4.486082,Asd,Amsterdam Centraal,52.379189,4.899431,1039
10-03-2024 16:34:30,10-04-2024 12:03:32,Ah,Arnhem Centraal,51.985,5.898611,Ut,Utrecht Centraal,52.089444,5.110278,1438
10-01-2024 18:08:32,10-01-2024 19:40:57,Ah,Arnhem Centraal,51.985,5.898611,GV,The Hague Hollands Spoor,52.070833,4.322222,1438
10-04-2024 15:27:36,10-04-2024 21:06:36,Ut,Utrecht Centraal,52.089444,5.110278,Rtd,Rotterdam Centraal,51.9225,4.467167,1092
10-02-2024 23:20:16,10-03-2024 00:46:17,Uto,Utrecht Overvecht,52.113333,5.111111,Nm,Nijmegen Station,51.841111,5.854167,1524
10-03-2024 13:36:48,10-04-2024 17:12:16,Nm,Nijmegen Station,51.841111,5.854167,Rtd,Rotterdam Centraal,51.9225,4.467167,1116
10-01-2024 01:08:12,10-04-2024 22:32:08,Rtb,Rotterdam Blaak,51.920582,4.486082,Uto,Utrecht Overvecht,52.113333,5.111111,1155
10-04-2024 13:15:56,10-04-2024 15:28:58,Ut,Utrecht Centraal,52.089444,5.110278,Asdz,Amsterdam Zuid,52.338602,4.871978,1628
10-04-2024 17:44:57,10-04-2024 22:56:33,Rtb,Rotterdam Blaak,51.920582,4.486082,Asdz,Amsterdam Zuid,52.338602,4.871978,1867
10-02-2024 21:35:13,10-04-2024 13:03:57,Asdz,Amsterdam Zuid,52.338602,4.871978,Rtb,Rotterdam Blaak,51.920582,4.486082,1112
10-02-2024 20:06:04,10-03-2024 08:46:46,Asd,Amsterdam Centraal,52.379189,4.899431,Ams,Amsterdam Amstel,52.346587,4.918684,1986
10-02-2024 01:02:08,10-03-2024 01:05:31,Uto,Utrecht Overvecht,52.113333,5.111111,Rtb,Rotterdam Blaak,51.920582,4.486082,1336
10-03-2024 08:13:49,10-04-2024 06:54:16,Ah,Arnhem Centraal,51.985,5.898611,Rtb,Rotterdam Blaak,51.920582,4.486082,1117
10-02-2024 12:54:54,10-04-2024 22:35:27,Ut,Utrecht Centraal,52.089444,5.110278,Uto,Utrecht Overvecht,52.113333,5.111111,1674
10-02-2024 13:48:00,10-03-2024 16:48:22,Asdz,Amsterdam Zuid,52.338602,4.871978,GV,The Hague Hollands Spoor,52.070833,4.322222,1642
10-02-2024 06:17:06,10-03-2024 00:42:06,Asdz,Amsterdam Zuid,52.338602,4.871978,Asd,Amsterdam Centraal,52.379189,4.899431,1853
10-03-2024 20:34:26,10-04-2024 04:11:29,GV,The Hague Hollands Spoor,52.070833,4.322222,Asdz,Amsterdam Zuid,52.338602,4.871978,1291
10-02-2024 23:41:12,10-03-2024 15:45:05,Gvc,The Hague Centraal,52.084167,4.324722,GV,The Hague Hollands Spoor,52.070833,4.322222,1825
10-03-2024 05:52:42,10-03-2024 13:40:56,Rtd,Rotterdam Centraal,51.9225,4.467167,Rtb,Rotterdam Blaak,51.920582,4.486082,1329
10-04-2024 02:03:07,10-04-2024 17:50:26,Ah,Arnhem Centraal,51.985,5.898611,Asdz,Amsterdam Zuid,52.338602,4.871978,1460
10-03-2024 19:31:48,10-04-2024 04:10:26,Gvc,The Hague Centraal,52.084167,4.324722,Asd,Amsterdam Centraal,52.379189,4.899431,1255
10-04-2024 17:37:24,10-04-2024 20:32:33,Asd,Amsterdam Centraal,52.379189,4.899431,Nm,Nijmegen Station,51.841111,5.854167,1657
10-02-2024 22:16:41,10-04-2024 05:20:12,Asdz,Amsterdam Zuid,52.338602,4.871978,Rtb,Rotterdam Blaak,51.920582,4.486082,1101
10-03-2024 06:29:57,10-03-2024 23:01:07,Gvc,The Hague Centraal,52.084167,4.324722,Uto,Utrecht Overvecht,52.113333,5.111111,1702
10-02-2024 12:53:13,10-03-2024 08:24:16,GV,The Hague Hollands Spoor,52.070833,4.322222,Ut,Utrecht Centraal,52.089444,5.110278,1020
10-03-2024 23:03:10,10-04-2024 18:24:16,Ah,Arnhem Centraal,51.985,5.898611,Rtb,Rotterdam Blaak,51.920582,4.486082,1670
10-01-2024 19:38:09,10-03-2024 06:13:17,Ut,Utrecht Centraal,52.089444,5.110278,Nm,Nijmegen Station,51.841111,5.854167,1392
10-04-2024 14:50:35,10-04-2024 20:18:51,Rtb,Rotterdam Blaak,51.920582,4.486082,GV,The Hague Hollands Spoor,52.070833,4.322222,1908
10-03-2024 16:44:35,10-04-2024 07:49:00,Asdz,Amsterdam Zuid,52.338602,4.871978,Gvc,The Hague Centraal,52.084167,4.324722,1731
10-03-2024 23:18:54,10-04-2024 09:43:49,Ah,Arnhem Centraal,51.985,5.898611,Asd,Amsterdam Centraal,52.379189,4.899431,1905
10-03-2024 06:51:00,10-03-2024 15:05:45,Nm,Nijmegen Station,51.841111,5.854167,Ams,Amsterdam Amstel,52.346587,4.918684,1018
10-03-2024 22:52:39,10-04-2024 15:58:20,Gvc,The Hague Centraal,52.084167,4.324722,Uto,Utrecht Overvecht,52.113333,5.111111,1592
10-03-2024 04:01:03,10-04-2024 23:01:21,Rtd,Rotterdam Centraal,51.9225,4.467167,Asdz,Amsterdam Zuid,52.338602,4.871978,1874
